InputSize,Time(ms)
1000,0.0024
2000,0.0035
3000,0.0041
4000,0.0055
5000,0.0056
6000,0.0066
7000,0.0072
8000,0.0082
9000,0.0094
10000,0.0099
11000,0.0106
12000,0.0114
13000,0.0132
14000,0.0137
15000,0.0148
16000,0.0154
17000,0.0159
18000,0.0167
19000,0.0187
20000,0.0195
21000,0.02
22000,0.0207
23000,0.0212
24000,0.0219
25000,0.0243
26000,0.0233
27000,0.0244
28000,0.0272
29000,0.0274
30000,0.0283
31000,0.0287
32000,0.0297
33000,0.0303
34000,0.0309
35000,0.0313
36000,0.0322
37000,0.0328
38000,0.0335
39000,0.0341
40000,0.0349
41000,0.0389
42000,0.0394
43000,0.0405
44000,0.0411
45000,0.0417
46000,0.0425
47000,0.0432
48000,0.0438
49000,0.0441
50000,0.0448
51000,0.0453
52000,0.0462
53000,0.0466
54000,0.0475
55000,0.0483
56000,0.0486
57000,0.0493
58000,0.0502
59000,0.0508
60000,0.052
61000,0.0519
62000,0.0573
63000,0.0582
64000,0.0593
65000,0.0597
66000,0.0603
67000,0.0607
68000,0.0612
69000,0.0619
70000,0.0625
71000,0.0636
72000,0.0639
73000,0.0646
74000,0.0657
75000,0.068
76000,0.0668
77000,0.0678
78000,0.068
79000,0.0686
80000,0.0693
81000,0.0699
82000,0.0709
83000,0.0712
84000,0.072
85000,0.0726
86000,0.0732
87000,0.0738
88000,0.0744
89000,0.0764
90000,0.0764
91000,0.0767
92000,0.0773
93000,0.0848
94000,0.0854
95000,0.0861
96000,0.0869
97000,0.0874
98000,0.0883
99000,0.0888
100000,0.0896
